date,region,sequenced,b117
2021-03-16,Grossregion Nordwestschweiz,58,53
2021-03-16,Grossregion Tessin,4,4
2021-03-16,Grossregion Zurich,6,6
2021-03-16,Lake Geneva region,16,15
2021-03-16,Ostschweiz,7,7
2021-03-17,Central Switzerland,1,1
2021-03-17,Espace Mittelland,11,10
2021-03-17,Grossregion Nordwestschweiz,27,25
2021-03-17,Grossregion Tessin,1,1
2021-03-17,Grossregion Zurich,10,9
2021-03-17,Lake Geneva region,6,6
2021-03-17,Ostschweiz,2,2
2021-03-18,Central Switzerland,0,0
2021-03-18,Espace Mittelland,5,4
2021-03-18,Grossregion Nordwestschweiz,23,22
2021-03-18,Grossregion Tessin,1,1
2021-03-18,Grossregion Zurich,4,3
2021-03-18,Lake Geneva region,5,5
2021-03-18,Ostschweiz,1,1
