date,year,week,region,cases
2021-02-24,2021,8,Grossregion Nordwestschweiz,117
2021-02-24,2021,8,Grossregion Tessin,39
2021-02-24,2021,8,Grossregion Zurich,157
2021-02-24,2021,8,Lake Geneva region,312
2021-02-24,2021,8,Ostschweiz,118
2021-02-25,2021,8,Central Switzerland,81
2021-02-25,2021,8,Espace Mittelland,232
2021-02-25,2021,8,Grossregion Nordwestschweiz,143
2021-02-25,2021,8,Grossregion Tessin,56
2021-02-25,2021,8,Grossregion Zurich,138
2021-02-25,2021,8,Lake Geneva region,348
2021-02-25,2021,8,Ostschweiz,123
2021-02-26,2021,8,Central Switzerland,63
2021-02-26,2021,8,Espace Mittelland,264
2021-02-26,2021,8,Grossregion Nordwestschweiz,150
2021-02-26,2021,8,Grossregion Tessin,49
2021-02-26,2021,8,Grossregion Zurich,134
2021-02-26,2021,8,Lake Geneva region,302
2021-02-26,2021,8,Ostschweiz,119
2021-02-27,2021,8,Central Switzerland,50
2021-02-27,2021,8,Espace Mittelland,182
2021-02-27,2021,8,Grossregion Nordwestschweiz,85
2021-02-27,2021,8,Grossregion Tessin,32
2021-02-27,2021,8,Grossregion Zurich,92
2021-02-27,2021,8,Lake Geneva region,224
2021-02-27,2021,8,Ostschweiz,58
2021-02-28,2021,8,Central Switzerland,25
2021-02-28,2021,8,Espace Mittelland,125
2021-02-28,2021,8,Grossregion Nordwestschweiz,60
2021-02-28,2021,8,Grossregion Tessin,18
2021-02-28,2021,8,Grossregion Zurich,81
2021-02-28,2021,8,Lake Geneva region,204
2021-02-28,2021,8,Ostschweiz,34
2021-03-01,2021,9,Central Switzerland,109
2021-03-01,2021,9,Espace Mittelland,257
2021-03-01,2021,9,Grossregion Nordwestschweiz,161
2021-03-01,2021,9,Grossregion Tessin,72
2021-03-01,2021,9,Grossregion Zurich,181
2021-03-01,2021,9,Lake Geneva region,455
2021-03-01,2021,9,Ostschweiz,185
2021-03-02,2021,9,Central Switzerland,89
2021-03-02,2021,9,Espace Mittelland,267
2021-03-02,2021,9,Grossregion Nordwestschweiz,148
2021-03-02,2021,9,Grossregion Tessin,56
2021-03-02,2021,9,Grossregion Zurich,187
2021-03-02,2021,9,Lake Geneva region,345
2021-03-02,2021,9,Ostschweiz,139
2021-03-03,2021,9,Central Switzerland,103
2021-03-03,2021,9,Espace Mittelland,265
2021-03-03,2021,9,Grossregion Nordwestschweiz,151
2021-03-03,2021,9,Grossregion Tessin,55
2021-03-03,2021,9,Grossregion Zurich,205
2021-03-03,2021,9,Lake Geneva region,311
2021-03-03,2021,9,Ostschweiz,150
2021-03-04,2021,9,Central Switzerland,102
2021-03-04,2021,9,Espace Mittelland,198
2021-03-04,2021,9,Grossregion Nordwestschweiz,120
2021-03-04,2021,9,Grossregion Tessin,51
2021-03-04,2021,9,Grossregion Zurich,176
2021-03-04,2021,9,Lake Geneva region,299
2021-03-04,2021,9,Ostschweiz,117
2021-03-05,2021,9,Central Switzerland,99
2021-03-05,2021,9,Espace Mittelland,243
2021-03-05,2021,9,Grossregion Nordwestschweiz,129
2021-03-05,2021,9,Grossregion Tessin,61
2021-03-05,2021,9,Grossregion Zurich,208
2021-03-05,2021,9,Lake Geneva region,389
2021-03-05,2021,9,Ostschweiz,148
2021-03-06,2021,9,Central Switzerland,77
2021-03-06,2021,9,Espace Mittelland,141
2021-03-06,2021,9,Grossregion Nordwestschweiz,85
2021-03-06,2021,9,Grossregion Tessin,33
2021-03-06,2021,9,Grossregion Zurich,123
2021-03-06,2021,9,Lake Geneva region,227
2021-03-06,2021,9,Ostschweiz,80
2021-03-07,2021,9,Central Switzerland,61
2021-03-07,2021,9,Espace Mittelland,107
2021-03-07,2021,9,Grossregion Nordwestschweiz,56
